Timestamp,Cycle,Total_Ms,Comm_Ms,AddrSwitch_Ms,UI_Ms,Record_Ms,Had_Error
2026-03-19 14:45:56.344,2,9084.2,8710.5,373.5,0.0,0.0,0
2026-03-19 14:46:05.489,3,9085.3,8706.6,378.6,0.0,0.0,0
2026-03-19 14:46:14.646,4,9081.9,8703.4,378.2,0.2,0.1,0
2026-03-19 14:46:23.794,5,9092.5,8714.0,378.5,0.0,0.0,0
2026-03-19 14:46:32.945,6,9084.2,8708.9,375.1,0.0,0.1,0
2026-03-19 14:46:42.080,7,9086.4,8706.6,379.7,0.0,0.0,0
2026-03-19 14:46:51.226,8,9071.6,8696.2,375.3,0.0,0.0,0
2026-03-19 14:47:00.382,9,9082.2,8702.1,379.9,0.0,0.0,0
2026-03-19 14:47:09.527,10,9092.7,8711.5,380.5,0.3,0.0,0
2026-03-19 14:47:18.661,11,9084.0,8702.7,381.3,0.0,0.0,0
2026-03-19 14:47:27.799,12,9071.1,8690.0,380.8,0.2,0.0,0
2026-03-19 14:47:36.937,13,9077.2,8698.7,378.2,0.0,0.3,0
2026-03-19 14:47:46.081,14,9073.7,8695.6,378.0,0.0,0.1,0
2026-03-19 14:47:55.232,15,9080.3,8700.4,379.8,0.0,0.0,0
2026-03-19 14:48:04.372,16,9086.0,8705.7,380.0,0.0,0.1,0
2026-03-19 14:48:13.522,17,9076.4,8699.9,376.4,0.0,0.0,0
2026-03-19 14:48:22.656,18,9086.1,8710.1,376.0,0.0,0.0,0
2026-03-19 14:48:31.801,19,9073.0,8695.6,377.1,0.0,0.3,0
