# Function: DC Voltage
# Unit: V
# Captured: 2026-02-07 07:52:34
# Points: 14
Timestamp,Value
2026-02-07 07:52:21.652,6.2742E-05
2026-02-07 07:52:22.513,7.6897E-05
2026-02-07 07:52:23.378,8.0442E-05
2026-02-07 07:52:24.239,7.6265E-05
2026-02-07 07:52:25.103,6.7177E-05
2026-02-07 07:52:25.950,6.9188E-05
2026-02-07 07:52:26.797,8.4851E-05
2026-02-07 07:52:27.644,6.7035E-05
2026-02-07 07:52:28.507,4.909E-05
2026-02-07 07:52:29.370,5.1527E-05
2026-02-07 07:52:30.233,5.7611E-05
2026-02-07 07:52:31.097,0.000130563
2026-02-07 07:52:31.960,7.0464E-05
2026-02-07 07:52:32.807,6.844E-05
