Timestamp,HP3458A @ 10 @ HP3458
2026-03-06 21:33:28.630,-5.569902202E-05
2026-03-06 21:33:28.756,-5.026279747E-05
2026-03-06 21:33:28.874,-4.776748129E-05
2026-03-06 21:33:29.008,-6.532381303E-05
2026-03-06 21:33:29.129,-6.265025997E-05
2026-03-06 21:33:29.257,-5.097574495E-05
2026-03-06 21:33:29.384,-5.534254828E-05
2026-03-06 21:33:29.516,-5.560990359E-05
2026-03-06 21:33:29.642,-6.371968119E-05
2026-03-06 21:33:29.760,-6.175907562E-05
2026-03-06 21:33:29.875,-6.871031357E-05
2026-03-06 21:33:30.006,-5.79269829E-05
2026-03-06 21:33:30.129,-5.935287787E-05
2026-03-06 21:33:30.245,-5.445136393E-05
2026-03-06 21:33:30.437,-6.291761528E-05
2026-03-06 21:33:30.553,-5.881816725E-05
2026-03-06 21:33:30.680,-6.371968119E-05
2026-03-06 21:33:30.798,-5.676844324E-05
2026-03-06 21:33:30.924,-5.480783767E-05
2026-03-06 21:33:31.050,-5.988758848E-05
2026-03-06 21:33:31.178,-4.785659972E-05
2026-03-06 21:33:31.301,-4.785659972E-05
2026-03-06 21:33:31.420,-6.478910242E-05
2026-03-06 21:33:31.542,-6.345232589E-05
2026-03-06 21:33:31.667,-6.256114153E-05
2026-03-06 21:33:31.795,-5.988758848E-05
2026-03-06 21:33:31.925,-6.345232589E-05
2026-03-06 21:33:32.052,-5.926375943E-05
2026-03-06 21:33:32.185,-5.953111474E-05
2026-03-06 21:33:32.308,-5.757050916E-05
2026-03-06 21:33:32.424,-5.605549576E-05
2026-03-06 21:33:32.551,-5.552078515E-05
2026-03-06 21:33:32.678,-4.972808686E-05
2026-03-06 21:33:32.795,-5.177781087E-05
2026-03-06 21:33:32.910,-6.496733929E-05
2026-03-06 21:33:33.037,-6.532381303E-05
2026-03-06 21:33:33.165,-6.051141752E-05
2026-03-06 21:33:33.292,-5.899640413E-05
2026-03-06 21:33:33.418,-5.837257508E-05
2026-03-06 21:33:33.545,-5.721403542E-05
2026-03-06 21:33:33.672,-6.505645772E-05
2026-03-06 21:33:33.800,-5.721403542E-05
2026-03-06 21:33:33.927,-5.810521977E-05
2026-03-06 21:33:34.059,-5.863993038E-05
2026-03-06 21:33:34.182,-5.578814046E-05
2026-03-06 21:33:34.309,-6.291761528E-05
2026-03-06 21:33:34.440,-5.373841645E-05
2026-03-06 21:33:34.568,-6.363056276E-05
2026-03-06 21:33:34.727,-5.177781087E-05
2026-03-06 21:33:34.848,-5.970935161E-05
2026-03-06 21:33:34.976,-6.015494378E-05
2026-03-06 21:33:35.103,-5.953111474E-05
2026-03-06 21:33:35.230,-5.31145874E-05
2026-03-06 21:33:35.346,-5.587725889E-05
2026-03-06 21:33:35.473,-5.480783767E-05
2026-03-06 21:33:35.604,-4.990632373E-05
2026-03-06 21:33:35.728,-5.035191591E-05
2026-03-06 21:33:35.849,-6.175907562E-05
2026-03-06 21:33:35.977,-5.712491699E-05
2026-03-06 21:33:36.104,-6.256114153E-05
2026-03-06 21:33:36.233,-5.953111474E-05
2026-03-06 21:33:36.364,-6.282849684E-05
2026-03-06 21:33:36.494,-6.09570097E-05
2026-03-06 21:33:36.634,-5.026279747E-05
2026-03-06 21:33:36.750,-4.598511258E-05
2026-03-06 21:33:36.866,-5.872904882E-05
2026-03-06 21:33:36.994,-5.810521977E-05
2026-03-06 21:33:37.121,-5.76596276E-05
2026-03-06 21:33:37.252,-5.988758848E-05
2026-03-06 21:33:37.360,-5.231252148E-05
2026-03-06 21:33:37.487,-6.541293146E-05
2026-03-06 21:33:37.614,-5.516431141E-05
2026-03-06 21:33:37.740,-5.997670691E-05
2026-03-06 21:33:37.851,-5.213428461E-05
2026-03-06 21:33:37.978,-5.79269829E-05
2026-03-06 21:33:38.105,-5.872904882E-05
2026-03-06 21:33:38.231,-5.712491699E-05
2026-03-06 21:33:38.354,-6.666058956E-05
2026-03-06 21:33:38.471,-5.00845606E-05
2026-03-06 21:33:38.594,-5.097574495E-05
2026-03-06 21:33:38.720,-6.300673371E-05
2026-03-06 21:33:38.837,-6.505645772E-05
2026-03-06 21:33:38.964,-5.801610134E-05
2026-03-06 21:33:39.097,-5.94419963E-05
2026-03-06 21:33:39.223,-6.051141752E-05
2026-03-06 21:33:39.351,-5.979847004E-05
2026-03-06 21:33:39.466,-5.596637733E-05
2026-03-06 21:33:39.592,-5.035191591E-05
2026-03-06 21:33:39.720,-5.213428461E-05
2026-03-06 21:33:39.848,-5.445136393E-05
2026-03-06 21:33:39.965,-5.730315386E-05
2026-03-06 21:33:40.092,-5.284723209E-05
2026-03-06 21:33:40.219,-5.988758848E-05
2026-03-06 21:33:40.337,-6.256114153E-05
2026-03-06 21:33:40.461,-5.703579855E-05
2026-03-06 21:33:40.577,-5.712491699E-05
2026-03-06 21:33:40.703,-6.113524657E-05
2026-03-06 21:33:40.831,-4.643070476E-05
2026-03-06 21:33:40.938,-4.607423102E-05
2026-03-06 21:33:41.064,-6.612587894E-05
2026-03-06 21:33:41.191,-6.336320745E-05
2026-03-06 21:33:41.317,-6.042229909E-05
2026-03-06 21:33:41.433,-5.926375943E-05
2026-03-06 21:33:41.560,-5.596637733E-05
2026-03-06 21:33:41.689,-6.024406222E-05
2026-03-06 21:33:41.813,-4.669806006E-05
2026-03-06 21:33:41.935,-4.937161312E-05
2026-03-06 21:33:42.049,-5.382753488E-05
2026-03-06 21:33:42.180,-6.24720231E-05
2026-03-06 21:33:42.308,-5.94419963E-05
2026-03-06 21:33:42.440,-6.648235268E-05
2026-03-06 21:33:42.567,-6.042229909E-05
2026-03-06 21:33:42.694,-5.855081195E-05
2026-03-06 21:33:42.820,-5.935287787E-05
2026-03-06 21:33:42.937,-5.757050916E-05
2026-03-06 21:33:43.063,-5.284723209E-05
2026-03-06 21:33:43.190,-4.660894163E-05
2026-03-06 21:33:43.317,-5.31145874E-05
2026-03-06 21:33:43.432,-6.407615493E-05
2026-03-06 21:33:43.558,-6.541293146E-05
2026-03-06 21:33:43.685,-5.926375943E-05
2026-03-06 21:33:43.812,-6.256114153E-05
2026-03-06 21:33:43.938,-6.068965439E-05
2026-03-06 21:33:44.065,-5.899640413E-05
2026-03-06 21:33:44.191,-5.757050916E-05
2026-03-06 21:33:44.319,-5.846169351E-05
2026-03-06 21:33:44.446,-5.632285107E-05
2026-03-06 21:33:44.561,-5.088662652E-05
2026-03-06 21:33:44.689,-5.525342985E-05
2026-03-06 21:33:44.814,-5.097574495E-05
2026-03-06 21:33:44.939,-4.366803326E-05
2026-03-06 21:33:45.065,-5.115398182E-05
