# Timing post-processed analysis
# Source   : 2026-03-18_21-16-36_Multi_Timing.csv
# Generated: 2026-03-19 12:25:15
# Points   : 10000
# Disconnects: 0
Timestamp,Total_Ms,Comm_Ms,Address_Switch_Ms,UI_Ms,Record_Ms,Had_Error,Rolling_Mean_Total_Ms,Rolling_StdDev_Total_Ms
2026-03-19 01:38:20.886,2519.500,2145.200,374.200,0.000,0.000,0,2519.5,0
2026-03-19 01:38:23.465,2515.300,2139.800,375.400,0.000,0.000,0,2517.4,2.1
2026-03-19 01:38:26.056,2516.000,2138.700,377.200,0.100,0.000,0,2516.9333,1.8372685
2026-03-19 01:38:28.644,2529.200,2153.000,376.100,0.000,0.000,0,2520,5.5448174
2026-03-19 01:38:31.226,2524.500,2150.900,373.500,0.000,0.000,0,2520.9,5.2759833
2026-03-19 01:38:33.813,2519.200,2142.200,376.700,0.200,0.000,0,2520.6167,4.857783
2026-03-19 01:38:36.394,2525.300,2148.800,376.400,0.000,0.000,0,2521.2857,4.7867163
2026-03-19 01:38:38.977,2519.000,2140.200,378.600,0.100,0.000,0,2521,4.540925
2026-03-19 01:38:41.556,2520.500,2145.000,375.500,0.000,0.000,0,2520.9444,4.2841079
2026-03-19 01:38:44.146,2519.400,2142.800,376.300,0.100,0.000,0,2520.79,4.0905868
2026-03-19 01:38:46.722,2526.300,2153.500,372.600,0.200,0.000,0,2521.2909,4.2096112
2026-03-19 01:38:49.287,2514.300,2138.800,375.400,0.000,0.000,0,2520.7083,4.4696119
2026-03-19 01:38:51.872,2501.600,2127.200,374.300,0.000,0.000,0,2519.2385,6.6608545
2026-03-19 01:38:54.452,2522.300,2145.500,376.600,0.100,0.000,0,2519.4571,6.4668069
2026-03-19 01:38:57.045,2517.300,2139.700,377.600,0.000,0.000,0,2519.3133,6.2706583
2026-03-19 01:38:59.622,2532.600,2158.000,374.600,0.000,0.000,0,2520.1438,6.8707686
2026-03-19 01:39:02.210,2516.100,2141.700,374.400,0.000,0.000,0,2519.9059,6.73319
2026-03-19 01:39:04.800,2525.800,2154.200,371.500,0.000,0.000,0,2520.2333,6.6813172
2026-03-19 01:39:07.377,2527.500,2152.500,374.800,0.100,0.000,0,2520.6158,6.7024947
2026-03-19 01:39:09.961,2514.600,2139.000,375.300,0.200,0.000,0,2520.315,6.663053
2026-03-19 01:39:12.549,2522.100,2144.300,377.400,0.200,0.100,0,2520.4,6.5135756
2026-03-19 01:39:15.142,2527.500,2151.400,375.800,0.200,0.000,0,2520.7227,6.5334059
2026-03-19 01:39:17.713,2529.100,2152.900,376.200,0.000,0.000,0,2521.087,6.6142339
2026-03-19 01:39:20.300,2509.600,2132.500,377.000,0.000,0.000,0,2520.6083,6.869796
2026-03-19 01:39:22.891,2524.600,2149.800,374.700,0.000,0.000,0,2520.768,6.7762952
2026-03-19 01:39:25.465,2528.000,2150.700,377.100,0.100,0.000,0,2521.0462,6.7886914
2026-03-19 01:39:28.041,2512.700,2138.300,374.200,0.000,0.000,0,2520.737,6.845715
2026-03-19 01:39:30.620,2514.000,2140.400,373.500,0.100,0.000,0,2520.4964,6.8376313
